ticker,company,acquirer,ann_date,close_date,deal_size_m,per_share,max_cvr,has_cvr,payment,premium,ann_to_close_days,data_quality,ret_3m,ret_6m,ret_12m,ret_24m,stage,offer_low,offer_high,offer_ccy,n_parties,direction,first_contact,eng_to_deal_days,leaked_early,leak_detail,llm_error,inflections
no_ticker,SCHERING AKTIENGESELLSCHAFT,Bayer Aktiengesellschaft,2006-03-23,2006-10-27,17335.8,89.36,89.36,False,cash,,218,ok,,,,,Marketed products + Pipeline,77.0,89.36,EUR,3,inbound,2006-03-13,10,True,PharmaTimes + recurring rumors since early 2000s,,Merck KGaA unsolicited EUR 77.00 bid | Bayer AG friendly EUR 86.00 counter-offer | Bayer purchase of 21.8% stake from Merck | Domination Agreement and Mandatory Offer
VBAC,VIRBAC CORPORATION,Virbac S.A.,2006-08-08,2006-11-01,130.2,5.75,5.75,False,cash,0.3723,85,ok,-0.0368,-0.0477,0.6115,0.6431,Commercial + R&D pipeline,4.15,5.75,USD,1,inbound,2005-12-12,239,False,,,
ANOR,AnorMED Inc.,Genzyme Corporation,2006-08-30,2006-11-07,566.7,13.5,13.5,False,cash,1.1061,69,ok,-0.0601,0.1246,,,Phase 3 lead + Phase 1/2 clinical,8.55,12.0,USD,3,both,2005-10-01,333,True,BioWorld Today/The Street + 10 months early,,Genzyme unsolicited $8.55 bid | Millennium $12.00 white knight agreement
MYOG,"Myogen, Inc.","Gilead Sciences, Inc.",2006-10-02,2006-11-17,2280.6,52.5,52.5,False,cash,0.5,46,ok,0.0968,-0.1459,0.7057,3.2169,Phase 3 lead + Phase 2b,44.0,52.5,USD,3,both,2006-04-01,184,False,,,Phase 3 ambrisentan results | GSK collaboration agreement
KOSP,KOS PHARMACEUTICALS INC,Abbott Laboratories,2006-11-06,2006-12-13,3715.2,78.0,78.0,False,cash,0.6016,37,ok,0.264,0.0875,-0.238,0.1056,Marketed products + Phase 3 pipeline,60.0,78.0,USD,10,both,2006-09-26,41,False,,,
CTRX,COTHERIX INC,Actelion Ltd.,2006-11-19,2007-01-09,388.6,13.5,13.5,False,cash,2.4884,51,ok,0.3299,,,,Marketed lead asset + Phase 2,10.0,13.5,USD,3,inbound,2006-08-10,101,False,,,Ventavis (iloprost) marketing approval | ACTIVE Trial Phase 2 initiation
PRCS,PRAECIS PHARMACEUTICALS INCORPORATED,GlaxoSmithKline plc,2006-12-21,2007-02-16,53.7,5.0,5.0,False,cash,1.4038,57,ok,0.04,-0.6127,-0.4774,-0.7663,Phase 1 lead + 1 marketed drug (EU),4.29,5.0,USD,100,both,2005-10-18,429,False,,,Strategic restructuring and 60% workforce reduction | Execution of Pilot Study and Option Agreement with GSK | Engagement of Canaccord Adams for strategic options | Divestiture of Plenaxis assets to SEP
NRPH,NEW RIVER PHARMACEUTICALS INC,Shire plc,2007-02-20,2007-04-19,2371.3,64.0,64.0,False,cash,0.15,58,ok,0.1664,1.204,0.6662,3.6375,Approved lead asset (VYVANSE),61.5,64.0,USD,15,both,2005-01-31,750,True,The Economic Times/Bloomberg + 1 month early,,"VYVANSE FDA approval Feb 23, 2007 | 74.8% share price increase Oct 2006"
MEDI,"MedImmune, Inc.",AstraZeneca PLC,2007-04-23,2007-06-18,13812.2,58.0,58.0,False,cash,0.7004,56,ok,0.0656,0.1881,-0.0593,0.3434,Marketed products + Phase 3 lead,50.0,58.0,USD,20,outbound,2007-03-23,31,True,FierceBiotech/Washington Business Journal reported sale pressure 4 months early,,Public announcement of strategic review | News leak regarding sale process | AstraZeneca final binding proposal
BIVN,"BIOENVISION, INC.",Genzyme Corporation,2007-05-29,2007-10-10,308.2,5.6,5.6,False,cash,0.5135,134,ok,-0.2292,-0.3058,-0.4334,-0.3984,Marketed lead asset + Phase 3,5.25,5.6,USD,21,both,2004-06-01,1092,False,,,Clofarabine European approval | SRI Amendment improving economic terms | Genzyme withdrawal from 2006 discussions | Company A non-binding proposal
DIGE,DIGENE CORPORATION,QIAGEN N.V.,2007-06-03,2007-07-30,1498.3,61.25,61.25,False,mixed,0.3324,57,ok,-0.0751,-0.0265,0.0736,0.8425,Marketed diagnostic franchise,58.0,61.25,USD,12,both,2007-01-08,146,False,,,Merger announcement with QIAGEN
COLY,"Coley Pharmaceutical Group, Inc.",Pfizer Inc.,2007-11-16,2008-01-04,213.9,8.0,8.0,False,cash,1.6936,49,ok,-0.1081,-0.7039,-0.7715,-0.8089,Phase 2/3 lead + clinical adjuvant platform,6.25,8.0,USD,3,outbound,2007-07-16,123,False,,,Pfizer discontinues two Phase III trials of PF-3512676 | Coley and Pfizer enter license agreement for PF-3512676
NTOL,"NATROL, INC.",Plethico Pharmaceuticals Limited,2007-11-18,2007-12-28,62.8,4.4,4.4,False,cash,0.3968,40,ok,-0.2125,0.0096,0.575,0.3404,"Commercial, multiple marketed nutraceutical brands",3.5,4.4,USD,1,inbound,2007-04-17,215,False,,,Acquisition of Nu Hair and Shen Min brands | Acquisition of Medical Research Institute (MRI) | Disappointing Q3 financial results
ARXT,"Adams Respiratory Therapeutics, Inc.",Reckitt Benckiser Group plc,2007-12-10,2008-01-29,2161.2,60.0,60.0,False,cash,0.3905,50,ok,0.0368,0.1075,0.0196,0.0141,Commercial consumer healthcare portfolio,48.0,60.0,USD,10,both,2007-10-08,63,False,,,
MOGN,MGI PHARMA INC,"Eisai Co., Ltd.",2007-12-10,2008-01-28,3332.0,41.0,41.0,False,cash,0.3703,49,ok,0.3286,0.4007,0.5764,0.7938,2 marketed drugs + NDA filing,33.0,41.0,USD,19,inbound,2006-09-25,441,False,,,Aloxi and Dacogen commercialization | Saforis NDA filing | Strategic review announcement
ENCY,ENCYSIVE PHARMACEUTICALS INC,Pfizer Inc.,2008-02-20,2008-06-10,190.3,2.35,2.35,False,cash,2.4559,111,ok,-0.5342,-0.6683,-0.8152,-0.9254,"Marketed (EU/AU/CA), Phase 3 (US)",1.25,2.35,USD,70,outbound,2007-10-09,134,True,GlobeNewswire/24/7 Wall St. 7-8 months early,,Third FDA approvable letter for THELIN | Board forms Strategic Options Committee | Morgan Stanley engaged for sale process | Receipt of eleven preliminary bids
CGPI,COLLAGENEX PHARMACEUTICALS INC,Galderma Pharma S.A.,2008-02-26,2008-04-10,358.2,16.6,16.6,False,cash,0.4128,44,ok,0.1353,-0.0361,-0.188,-0.1172,Marketed lead asset (Oracea),12.5,16.6,USD,14,both,2005-07-01,970,False,,,Oracea commercialization | Galderma acquisition proposal
MLNM,"Millennium Pharmaceuticals, Inc.",Takeda Pharmaceutical Company Limited,2008-04-10,2008-05-14,8167.6,25.0,25.0,False,cash,0.9113,34,ok,-0.1321,0.3146,0.2293,0.393,Marketed lead asset + Phase 2 and IND pipeline,23.0,25.0,USD,1,inbound,2007-07-10,275,True,Reuters/Forbes/Bloomberg reported Japanese firm interest 3-4 months early,,VELCADE approval/label expansion | Transition to profitability in 2008 | Eisai acquisition of MGI Pharma (sector tailwind)
SIRT,"Sirtris Pharmaceuticals, Inc.",GlaxoSmithKline plc,2008-04-22,2008-06-05,658.5,22.5,22.5,False,cash,1.0872,44,ok,-0.2322,-0.3479,-0.1438,,Clinical/Pre-clinical SIRT1 activation platform,18.5,22.5,USD,2,both,2006-02-06,806,False,,,
USNA,"USANA HEALTH SCIENCES, INC.",Gull-Unity Holding Corp.,2008-05-13,,426.2,26.0,26.0,False,cash,0.2334,,ok,-0.574,-0.525,-0.4941,-0.433,Marketed nutritional supplements,26.0,26.0,USD,1,inbound,2007-06-01,347,False,,,
TWTI,"Third Wave Technologies, Inc.","Hologic, Inc.",2008-06-09,2008-07-17,509.9,11.25,11.25,False,cash,0.3267,38,ok,0.0574,-0.0546,0.6498,2.0614,PMA Submission (HPV tests) + FDA Cleared (Cystic Fibrosis),4.75,11.25,USD,11,both,2008-03-28,73,False,,,Achievement of clinical endpoints in HPV test trials | PMA Submission for HPV Cervista High Risk screening assay
TARO,TARO PHARMACEUTICAL INDUSTRIES LTD.,Sun Pharmaceutical Industries Ltd.,2008-06-25,,305.8,7.75,7.75,False,cash,-0.0663,,ok,-0.0119,0.1528,0.1067,-0.2177,"Commercial, generic product pipeline",7.75,7.75,USD,4,inbound,2006-01-01,906,False,,,2007 dramatic financial turnaround | Termination of 2007 Merger Agreement | Sun purchase of Brandes block at $10.25 | Sun purchase of Harel block at $9.50
