file,company,ticker,cik,status,buyer,acquirer,data_quality,deal_type,payment_type,announcement_date,board_rec_date,tender_exp_date,close_date,ann_year,per_share_upfront,max_per_share_cvr,has_cvr,shares_out,implied_equity_value_m,ann_to_close_days,ann_to_tender_days,currency,premium_override,override_source,unaffected_close,last_pre_close,premium_to_unaffected,premium_to_last,runup_4wk_pct,pct_premium_pre_captured,vol_ratio_4wk,n_price_weeks
2seventy_bio_inc_TSVT.md,"2seventy bio, Inc.",TSVT,1860782,completed,Daybreak Merger Sub Inc.,Bristol-Myers Squibb Company,ok,tender offer,cash,2025-03-10,2025-03-10,2025-05-12,2025-05-13,2025,5.0,5.0,False,53228315.0,266.1,64,63,USD,False,,2.3,2.66,1.1739,0.8797,0.1565,0.1333,0.76,114
89bio_inc_ETNB.md,"89bio, Inc.",ETNB,1785173,completed,"Roche Holdings, Inc.","Roche Holdings, Inc.",ok,tender offer,cash,2025-09-18,2025-09-17,2025-10-29,2025-10-30,2025,14.5,20.5,True,155567271.0,2255.7,42,41,USD,False,,9.23,8.07,0.571,0.7968,-0.1257,-0.2201,0.86,111
ablynx_nv_ABLX.md,Ablynx NV,ABLX,1617582,pending,Sanofi,Sanofi,ok,tender offer,cash,2018-01-29,2018-01-28,2018-05-04,,2018,45.0,45.0,False,75253667.0,3386.4,,95,EUR,True,https://www.sec.gov/Archives/edgar/data/0001121404/000119312518022610/d530660dex991.htm,37.13,37.13,0.212,0.212,,,2.96,27
acceleron_pharma_inc_XLRN.md,ACCELERON PHARMA INC,XLRN,1280600,completed,Merck Sharp & Dohme Corp.,"Merck & Co., Inc.",ok,tender offer,cash,2021-09-30,2021-09-29,2021-11-19,2021-11-19,2021,180.0,180.0,False,61147922.0,11006.6,50,50,USD,False,,129.52,167.65,0.3897,0.0737,0.2944,0.7553,1.39,112
adamas_pharmaceuticals_inc_adms.md,Adamas Pharmaceuticals Inc,ADMS,0001328143,completed,"Supernus Pharmaceuticals, Inc.","Supernus Pharmaceuticals, Inc.",ok,tender offer followed by merger,cash with contingent value rights (CVR),2021-10-10,2021-10-10,,,2021,8.1,9.1,True,45766965.0,370.7,,,USD,False,,4.55,4.61,0.7802,0.757,0.0132,0.0169,0.69,107
adams_respiratory_therapeutics_inc_ARXT.md,"Adams Respiratory Therapeutics, Inc.",ARXT,1319439,completed,Twickenham Inc.,Reckitt Benckiser Group plc,ok,tender offer,cash,2007-12-10,2007-12-09,2008-01-23,2008-01-29,2007,60.0,60.0,False,36020366.0,2161.2,50,44,USD,False,,43.15,43.68,0.3905,0.3736,0.0123,0.0315,0.73,112
adolor_corp_ADLR.md,ADOLOR CORPORATION,ADLR,1076167,completed,FRD Acquisition Corporation,"Cubist Pharmaceuticals, Inc.",ok,tender offer,cash,2011-10-24,2011-10-23,2011-12-06,2011-12-12,2011,4.25,8.75,True,46603391.0,198.1,49,43,USD,False,,1.73,1.92,1.4566,1.2135,0.1098,0.0754,0.77,112
advanced_accelerator_applications_s_a_AAAP.md,Advanced Accelerator Applications S.A.,AAAP,1611787,completed,Novartis Groupe France S.A.,Novartis AG,ok,tender offer,cash,2017-10-30,2017-12-05,2018-01-19,2018-01-22,2017,41.0,41.0,False,88515657.0,3629.1,84,81,USD,False,,67.62,72.91,-0.3937,-0.4377,0.0782,-0.1987,1.28,108
adverum_biotechnologies_inc_ADVM.md,"Adverum Biotechnologies, Inc.",ADVM,1501756,completed,Flying Tigers Acquisition Corporation,Eli Lilly and Company,ok,tender offer,cash,2025-10-24,2025-10-23,2025-12-08,2025-12-09,2025,3.56,12.47,True,22077467.0,78.6,46,45,USD,False,,4.51,4.29,-0.2106,-0.1702,-0.0488,0.2316,8.08,112
akcea_therapeutics_inc_AKCA.md,"Akcea Therapeutics, Inc.",AKCA,1662524,completed,"Ionis Pharmaceuticals, Inc.","Ionis Pharmaceuticals, Inc.",ok,tender offer,cash,2020-08-31,2020-08-30,2020-10-09,2020-10-12,2020,18.15,18.15,False,101759772.0,1846.9,42,39,USD,False,,10.84,11.38,0.6744,0.5949,0.0498,0.0739,0.47,111
