file,week_ended,trigger,source,pre_close,post_close,change_pct,identified
2seventy_bio_inc_TSVT.md,,Trigger event,Event source,,,,True
2seventy_bio_inc_TSVT.md,2023-05-05,not identified in filings or news,Not identified,9.51,11.43,20.2,False
2seventy_bio_inc_TSVT.md,2023-07-28,not identified in filings or news,Not identified,10.44,7.82,-25.1,False
2seventy_bio_inc_TSVT.md,2023-08-04,not identified in filings or news,Not identified,7.82,6.08,-22.3,False
2seventy_bio_inc_TSVT.md,2023-09-22,not identified in filings or news,Not identified,4.05,3.15,-22.2,False
2seventy_bio_inc_TSVT.md,2023-09-29,not identified in filings or news,Not identified,3.15,3.92,24.4,False
2seventy_bio_inc_TSVT.md,2023-10-27,not identified in filings or news,Not identified,3.76,2.15,-42.8,False
2seventy_bio_inc_TSVT.md,2023-12-08,not identified in filings or news,Not identified,1.94,3.1,59.8,False
2seventy_bio_inc_TSVT.md,2023-12-15,not identified in filings or news,Not identified,3.1,3.74,20.6,False
2seventy_bio_inc_TSVT.md,2024-02-02,not identified in filings or news,Not identified,3.22,5.25,63.0,False
2seventy_bio_inc_TSVT.md,2024-03-22,not identified in filings or news,Not identified,4.01,5.13,27.9,False
2seventy_bio_inc_TSVT.md,2024-11-15,not identified in filings or news,Not identified,4.73,3.52,-25.6,False
2seventy_bio_inc_TSVT.md,2025-03-14,not identified in filings or news,Not identified,2.66,4.95,86.1,False
89bio_inc_ETNB.md,,Trigger event,Event source,,,,True
89bio_inc_ETNB.md,2023-10-13,not identified in filings or news,Not identified,16.03,7.62,-52.5,False
89bio_inc_ETNB.md,2023-11-03,not identified in filings or news,Not identified,6.7,8.41,25.5,False
89bio_inc_ETNB.md,2024-11-15,not identified in filings or news,Not identified,10.45,7.93,-24.1,False
89bio_inc_ETNB.md,2025-01-31,not identified in filings or news,Not identified,7.13,9.6,34.6,False
89bio_inc_ETNB.md,2025-04-04,not identified in filings or news,Not identified,8.08,5.77,-28.6,False
89bio_inc_ETNB.md,2025-05-02,not identified in filings or news,Not identified,6.94,8.73,25.8,False
89bio_inc_ETNB.md,2025-05-23,not identified in filings or news,Not identified,7.78,9.49,22.1,False
89bio_inc_ETNB.md,2025-09-19,not identified in filings or news,Not identified,8.07,14.87,84.3,False
ablynx_nv_ABLX.md,,Trigger event,Event source,,,,True
ablynx_nv_ABLX.md,2018-01-12,not identified in filings or news,Not identified,25.91,42.28,63.2,False
acceleron_pharma_inc_XLRN.md,,Trigger event,Event source,,,,True
acceleron_pharma_inc_XLRN.md,2020-01-31,not identified in filings or news,Not identified,52.05,90.78,74.4,False
acceleron_pharma_inc_XLRN.md,2020-03-27,not identified in filings or news,Not identified,72.0,87.05,20.9,False
acceleron_pharma_inc_XLRN.md,2021-09-24,not identified in filings or news,Not identified,137.6,167.65,21.8,False
adamas_pharmaceuticals_inc_adms.md,,Trigger event,Event source,,,,True
adamas_pharmaceuticals_inc_adms.md,2019-11-08,Not identified in filings or news,News data not yet correlated with filings,4.34,5.63,29.7,False
adamas_pharmaceuticals_inc_adms.md,2019-12-20,Not identified in filings or news,News data not yet correlated with filings,6.66,3.71,-44.3,False
adamas_pharmaceuticals_inc_adms.md,2020-01-10,Not identified in filings or news,News data not yet correlated with filings,4.1,5.19,26.6,False
adamas_pharmaceuticals_inc_adms.md,2020-02-28,COVID-19 pandemic market volatility,Market conditions; not deal-specific,5.79,4.56,-21.2,True
adamas_pharmaceuticals_inc_adms.md,2020-03-13,COVID-19 pandemic market volatility,Market conditions; not deal-specific,3.89,2.7,-30.6,True
adamas_pharmaceuticals_inc_adms.md,2020-08-07,Possible clinical or commercial development news,Not identified in available filings or sample news,2.48,3.78,52.4,True
adamas_pharmaceuticals_inc_adms.md,2020-08-14,Continued positive momentum from prior week event,Possible continuation of prior week news impact,3.78,4.8,27.0,True
adamas_pharmaceuticals_inc_adms.md,2020-10-23,Not identified in filings or news,News data not yet correlated with filings,4.44,3.55,-20.0,False
adamas_pharmaceuticals_inc_adms.md,2021-01-29,Possible clinical data announcement or market enthusiasm for company program,Not identified in available filing sample; potential news event,4.72,5.91,25.2,True
adamas_pharmaceuticals_inc_adms.md,2021-10-15,Merger announcement with Supernus Pharmaceuticals; tender offer disclosure,"Agreement and Plan of Merger dated October 10, 2021; SC 14D-9 filings October 12 & 25, 2021 (accessions 0001104659-21-124984, 0001104659-21-124987, 0001104659-21-129362)",4.61,8.07,75.1,True
adams_respiratory_therapeutics_inc_ARXT.md,,Trigger event,Event source,,,,True
adams_respiratory_therapeutics_inc_ARXT.md,2007-03-16,not identified in filings or news,Not identified,37.92,28.22,-25.6,False
adams_respiratory_therapeutics_inc_ARXT.md,2007-03-23,not identified in filings or news,Not identified,28.22,35.01,24.1,False
adams_respiratory_therapeutics_inc_ARXT.md,2007-12-14,not identified in filings or news,Not identified,43.68,59.86,37.0,False
adolor_corp_ADLR.md,,Trigger event,Event source,,,,True
adolor_corp_ADLR.md,2010-03-05,not identified in filings or news,Not identified,1.53,1.85,20.9,False
