file,ticker,week_ended,open,high,low,close,volume,shares_out,market_cap,adj_close
2seventy_bio_inc_TSVT.md,TSVT,2023-03-17,10.08,10.78,9.5,10.0,6374138.0,50189753.0,501.9,10.0
2seventy_bio_inc_TSVT.md,TSVT,2023-03-24,9.87,10.02,9.05,9.24,4456238.0,50189753.0,463.8,9.24
2seventy_bio_inc_TSVT.md,TSVT,2023-03-31,9.33,10.38,9.13,10.2,3111203.0,50189753.0,511.9,10.2
2seventy_bio_inc_TSVT.md,TSVT,2023-04-07,10.11,10.35,9.77,10.02,2934374.0,50189753.0,502.9,10.02
2seventy_bio_inc_TSVT.md,TSVT,2023-04-14,9.87,10.01,8.78,9.32,3928050.0,50189753.0,467.8,9.32
2seventy_bio_inc_TSVT.md,TSVT,2023-04-21,9.35,9.82,8.33,8.56,4114914.0,50189753.0,429.6,8.56
2seventy_bio_inc_TSVT.md,TSVT,2023-04-28,8.55,9.72,8.25,9.51,3586253.0,50189753.0,477.3,9.51
2seventy_bio_inc_TSVT.md,TSVT,2023-05-05,9.55,12.01,9.55,11.43,7016896.0,50199268.0,573.8,11.43
2seventy_bio_inc_TSVT.md,TSVT,2023-05-12,11.49,11.93,11.11,11.42,3014375.0,50199268.0,573.3,11.42
2seventy_bio_inc_TSVT.md,TSVT,2023-05-19,11.42,11.93,10.74,11.42,2431725.0,50199268.0,573.3,11.42
2seventy_bio_inc_TSVT.md,TSVT,2023-05-26,11.51,12.41,11.21,11.98,4613468.0,50199268.0,601.4,11.98
2seventy_bio_inc_TSVT.md,TSVT,2023-06-02,12.01,12.36,11.66,12.15,2495704.0,50199268.0,609.9,12.15
2seventy_bio_inc_TSVT.md,TSVT,2023-06-09,12.08,12.69,11.69,12.39,2585850.0,50199268.0,622.0,12.39
2seventy_bio_inc_TSVT.md,TSVT,2023-06-16,12.47,12.67,10.0,10.21,6866483.0,50199268.0,512.5,10.21
2seventy_bio_inc_TSVT.md,TSVT,2023-06-23,10.17,10.4,9.77,10.0,4786703.0,50199268.0,502.0,10.0
2seventy_bio_inc_TSVT.md,TSVT,2023-06-30,10.03,10.28,9.46,10.12,2665908.0,50199268.0,508.0,10.12
2seventy_bio_inc_TSVT.md,TSVT,2023-07-07,10.14,10.91,9.81,10.7,1243978.0,50199268.0,537.1,10.7
2seventy_bio_inc_TSVT.md,TSVT,2023-07-14,10.68,11.29,10.12,10.28,1913130.0,50199268.0,516.0,10.28
2seventy_bio_inc_TSVT.md,TSVT,2023-07-21,10.29,10.89,10.25,10.44,2290265.0,50199268.0,524.1,10.44
2seventy_bio_inc_TSVT.md,TSVT,2023-07-28,10.45,10.58,7.46,7.82,7479699.0,50199268.0,392.6,7.82
2seventy_bio_inc_TSVT.md,TSVT,2023-08-04,7.87,8.08,6.05,6.08,9513579.0,50199268.0,305.2,6.08
2seventy_bio_inc_TSVT.md,TSVT,2023-08-11,6.07,6.28,5.64,5.95,6041945.0,50464578.0,300.3,5.95
2seventy_bio_inc_TSVT.md,TSVT,2023-08-18,6.44,6.79,5.44,5.56,7707450.0,50464578.0,280.6,5.56
2seventy_bio_inc_TSVT.md,TSVT,2023-08-25,5.75,6.0,5.26,5.5,5410427.0,50464578.0,277.6,5.5
2seventy_bio_inc_TSVT.md,TSVT,2023-09-01,5.51,5.59,5.14,5.17,4772445.0,50464578.0,260.9,5.17
2seventy_bio_inc_TSVT.md,TSVT,2023-09-08,5.15,5.2,4.46,4.7,5672967.0,50464578.0,237.2,4.7
2seventy_bio_inc_TSVT.md,TSVT,2023-09-15,4.67,4.67,3.54,4.05,13922787.0,50464578.0,204.4,4.05
2seventy_bio_inc_TSVT.md,TSVT,2023-09-22,4.07,4.26,3.01,3.15,5430499.0,50464578.0,159.0,3.15
